site,city,LocationName.geometry1,LocationName.geometry2,water,trees,grass,flooded.vegetation,crops,scrub.shrub,built.area,bare.ground,snow.ice,clouds,green.space,city,easting,northing,utm.zone,longitude,latitude
W03-SLP1,Wilmington,c(-75.51699439, 39.75954134),0.005059505,0.083084071,0.018296952,0,0,3.18E-05,0.893527652,0,0,0,0.101412843,Wilmington,455715,4401197,18,-75.51699439,39.75954134
W04-CBP2,Wilmington,c(-75.58113044, 39.73569453),0,0.096931305,0.030686955,0,0,0.000986821,0.871394919,0,0,0,0.128605081,Wilmington,450204,4398584,18,-75.58113044,39.73569453
W05-CMP1,Wilmington,c(-75.59246731, 39.69538885),0.010279749,0.243817829,0.011489131,0,0,0.03074377,0.70366952,0,0,0,0.28605073,Wilmington,449203,4394117,18,-75.59246731,39.69538885
W05-FZS1,Wilmington,c(-75.62025684, 39.69752331),0.130044558,0.250159134,0.00334182,0.147517505,0.060630172,0.121514959,0.286791852,0,0,0,0.375015913,Wilmington,446822,4394370,18,-75.62025684,39.69752331
W06-LGP3,Wilmington,c(-75.64578407, 39.6632265),0.004390849,0.311973019,0.012472557,0.009163511,0.057908301,0.051067485,0.553024277,0,0,0,0.375513061,Wilmington,444606,4390579,18,-75.64578407,39.6632265
W08-GLP3,Wilmington,c(-75.73061727, 39.60993286),0.005029605,0.470490864,0.09136054,0,0.025466353,0.000381995,0.407270644,0,0,0,0.562233399,Wilmington,437281,4384720,18,-75.73061727,39.60993286
FRD1_AP21_AM,Seattle,c(-122.0079164, 47.7510263),0,0.629674422,0,0,0.351707457,0,0.017281436,0.001336686,0,0,0.629674422,Seattle,574360,5289105,10N,-122.0079164,47.7510263
HFW1_AP21_AM,Seattle,c(-122.1916235, 47.70675904),0,0.02943329,0,0,0,0,0.948547427,0.021796544,0,0,0.02943329,Seattle,560642,5284025,10N,-122.1916235,47.70675904
JBP1_AP21_AM,Seattle,c(-122.2034711, 47.69558572),0.055734157,0.140910972,0,0,0,0,0.782697266,0.013655028,0,0,0.140910972,Seattle,559766,5282774,10N,-122.2034711,47.69558572
MBC2_AP21_AM,Seattle,c(-122.0889554, 47.70430724),0,0.198784059,0,0,0,0,0.699293354,0.003660555,0,0,0.198784059,Seattle,568347,5283838,10N,-122.0889554,47.70430724
NRP1_AP21_AM,Seattle,c(-122.1733118, 47.68709446),0.008467023,0.004297173,0,0,0,0,0.986217214,3.18E-05,0,0,0.004297173,Seattle,562039,5281854,10N,-122.1733118,47.68709446
PHY1_AP21_AM,Seattle,c(-122.3595998, 47.67080279),0,0.000127356,0,0,0,0,0.999872644,0,0,0,0.000127356,Seattle,548074,5279911,10N,-122.3595998,47.67080279
RWP2_AP21_AM,Seattle,c(-122.0435006, 47.71160343),0,0.830972465,0,0,0,0,0.130861054,0.003024033,0,0,0.830972465,Seattle,571747,5284690,10N,-122.0435006,47.71160343
