path,mean_dB
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_10.05.wav,88.57605114
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_101.95.wav,87.21473264
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_107.15.wav,85.91759067
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_111.15.wav,86.50768093
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_115.65.wav,87.85479827
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_121.65.wav,83.9367849
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_124.15.wav,88.60504722
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_131.55.wav,85.84717139
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_135.55.wav,84.97152794
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_138.75.wav,87.37997995
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_144.25.wav,88.2246007
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_150.95.wav,83.87755378
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_153.45.wav,88.28310617
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_160.15.wav,84.95494633
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_163.35.wav,89.31195175
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_17.050000000000004.wav,86.21756207
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_172.15.wav,85.25639708
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_175.65.wav,87.30028725
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_181.35.wav,87.18084575
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_186.85.wav,85.11890773
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_190.25.wav,86.2591987
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_194.65.wav,86.82443089
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_199.55.wav,86.35268649
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_204.05.wav,88.57690372
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_21.250000000000004.wav,86.89623507
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_211.85.wav,86.21352414
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_216.55.wav,86.57376851
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_221.65.wav,85.95604199
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_226.15.wav,85.65940853
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_230.45.wav,86.06632996
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_235.35.wav,84.89412911
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_239.05.wav,87.47621269
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_245.95.wav,86.60326783
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_251.35.wav,84.05795459
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_254.45.wav,86.68920499
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_26.250000000000004.wav,85.11149525
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_260.25.wav,84.63618301
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_264.05.wav,87.62478936
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_271.65.wav,82.13764907
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_273.65.wav,86.50825145
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_279.65.wav,84.5119748
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_283.35.wav,87.50917955
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_29.55.wav,88.04132533
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_290.95.wav,84.37003564
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_294.65.wav,87.08691206
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_36.150000000000006.wav,87.10407777
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_41.45.wav,86.01504765
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_45.75.wav,84.38309552
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_48.55.wav,88.57716965
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_56.050000000000004.wav,83.12172694
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_58.25.wav,88.00523632
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_64.85.wav,88.47287863
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_7.150000000000004.wav,84.81498966
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_72.05.wav,81.71362362
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_73.55.wav,87.55403368
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_79.45.wav,86.05012552
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_83.55.wav,87.60354647
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_89.35.wav,88.97230028
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210506_063000_97.15.wav,86.81868376
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_0.wav,85.78618002
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_104.15.wav,86.16943777
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_109.05.wav,86.85825393
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_11.250000000000004.wav,85.20624714
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_114.75.wav,87.16042415
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_120.85000000000001.wav,86.80115786
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_126.05.wav,85.50538292
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_130.05.wav,86.97177104
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_135.65.wav,86.40163728
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_140.45.wav,86.82787155
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_145.85.wav,85.95105435
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_150.35.wav,84.75489781
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_153.75.wav,88.72763254
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_162.15.wav,85.38937011
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_166.15.wav,82.64873579
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_168.25.wav,88.25588332
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_17.150000000000002.wav,79.61876841
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_175.75.wav,86.80262991
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_18.75.wav,85.24157421
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_181.05.wav,83.69099293
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_183.65.wav,86.93855706
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_189.15.wav,86.61243969
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_194.45.wav,85.35891509
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_198.45.wav,88.05612834
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_205.55.wav,86.12831044
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_210.15.wav,85.80118198
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_214.35.wav,86.57688621
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_219.55.wav,85.78804499
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_223.75.wav,86.49948869
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_228.75.wav,87.49694651
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_235.05.wav,87.50163199
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_24.450000000000003.wav,84.91287715
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_241.35.wav,86.64558323
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_246.45.wav,81.70075094
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_248.25.wav,88.84556616
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_256.95.wav,82.06035204
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_258.85.wav,87.87335114
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_265.65.wav,87.46834098
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_271.95.wav,84.78202091
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_275.35.wav,83.96603376
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_278.25.wav,88.88654007
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_287.05.wav,82.03810588
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_288.85.wav,88.07007772
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_29.650000000000002.wav,84.79869271
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_295.95.wav,83.12023597
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_298.25.wav,88.78904019
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_34.35.wav,83.57848922
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_38.25.wav,86.4872668
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_45.650000000000006.wav,83.21063646
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_49.05.wav,87.14715828
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_56.45.wav,85.76264251
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_61.95.wav,84.37143766
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_65.75.wav,82.90494632
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_68.35.wav,87.02859178
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_7.050000000000003.wav,83.67683159
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_75.05.wav,86.33015942
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_80.35000000000001.wav,86.45423302
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_85.75.wav,85.41556486
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_89.85.wav,87.18209913
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_96.15.wav,84.30151511
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210507_063000_99.25.wav,86.12028997
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_0.wav,85.31321749
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_100.65.wav,81.77615007
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_103.25.wav,85.05839396
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_108.55.wav,85.17027764
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_113.95.wav,86.83754066
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_12.150000000000004.wav,84.2270799
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_122.05.wav,81.50735695
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_124.45.wav,84.72672981
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_129.45.wav,85.49372616
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_135.15.wav,83.89541811
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_139.15.wav,85.80447424
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_145.25.wav,84.98546317
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_150.35.wav,83.31854503
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_153.85.wav,85.13156476
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_159.25.wav,84.14399618
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_163.45.wav,86.1254549
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_17.150000000000002.wav,82.37335937
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_170.45.wav,83.57516812
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_174.25.wav,85.84977766
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_180.85.wav,82.5887396
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_183.95.wav,85.32338555
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_189.85.wav,82.86616919
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_193.25.wav,85.04315028
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_198.65.wav,85.17921864
D:/uwin_sounds/split_audio\ATGA\Druid_Hills_GC\20210508_063000_20.35.wav,84.04691924
